问题ID,优先级,类别,文件,位置,问题描述,风险等级,修复建议,预估工作量,状态
P0-1,P0,代码复杂度,src/gpu/search_modes/random_search.py,v4.5.1已拆分,GPU引擎_random_search方法已分解为_execute_sync/_execute_async/_run_async_batch_cycle等子方法,严重,已完成：在Phase 6重构中分解至src/gpu/search_modes/,2-3天,已修复
P0-2,P0,安全漏洞,src/collision/gpu/,v4.2.1已修复,GPU日志仅使用private_key_hash，经grep验证零私钥明文泄露,严重,已完成：checkpoint/日志统一使用哈希,1天,已修复
P1-1,P1,代码复杂度,src/collision/key_collision_engine.py,v4.5.1已拆分,CPU random_search已分解为子方法,高,已完成：初始化/循环/错误处理子方法分离,1-2天,已修复
P1-2,P1,架构设计,src/collision/gpu/engine.py,v4.3.1 Phase 6.1已解决,依赖注入模式+事件适配器消除循环依赖,高,已完成：EventBus+adapter模式解耦,2-3天,已修复
P1-3,P1,代码质量,全局,v4.2.1已修复,104文件类型提示已补充，GPUCollisionEngine签名完整,高,已完成：核心模块全部Google风格docstring,3-4天,已修复
P1-4,P1,UI响应性,N/A（key_collision_gui.py已移除）,key_collision_gui.py在v4.x中已整体移除,高,无需修复（组件已移除）,0.5天,不适用
P1-5,P1,配置验证,src/gpu/profiles/loader.py,_validate_profile方法 (v5.4.0补全),全字段已覆盖：8个验证子方法覆盖queue_depth/timeout_seconds/known_issues/driver_version + 跨字段依赖,高,已完成：新增4个验证方法，完整覆盖所有JSON字段,1天,已修复
P1-6,P1,资源管理,src/core/memory_pool.py,v4.2.1已修复,start_auto_cleanup/_auto_cleanup_loop已实现,高,已完成：定期清理+内存使用监控,1天,已修复
P1-7,P1,异常处理,全局,v4.2.1已修复,关键路径异常使用exc_info=True+logger.exception,高,已完成：batch_id/mode上下文已添加,1-2天,已修复
P1-8,P1,测试覆盖,tests/,v4.5.1已修复,118个GPU测试文件,高,已完成：核心流程+并发+异常恢复测试,3-4天,已修复
P2-1,P2,文档规范,全局,v4.2.1已大幅改进,核心模块(GPUEngine/BaseEngine/SearchModes)均为Google风格,中,已完成：核心模块已统一Google风格,2天,已改进
P2-2,P2,代码规范,全局,v4.2.1已修复,_engine_constants.py及各模块已提取大批常量,中,已完成：BATCH_SIZE/THREAD_JOIN_TIMEOUT等均提取为模块常量,1天,已修复
P2-3,P2,PEP 8合规,全局,v4.5.1已修复,ruff --select I001 零违规,中,已完成：全项目导入顺序标准化,0.5天,已修复
P2-4,P2,错误恢复,src/collision/gpu/engine.py,v4.2.1已修复,PYOPENCL_AVAILABLE检测+详细诊断信息+多级回退策略,中,已完成：诊断消息覆盖所有GPU厂商,1天,已修复
P2-5,P2,日志管理,全局,v4.2.1已修复,经review确认WARNING/ERROR/INFO/DEBUG级别分配合理,中,已评估：异常路径全部使用exc_info=True,1天,已修复
P2-6,P2,用户体验,src/cli/arg_parser.py; src/cli/commands.py,v4.2.1已修复,参数分组+中文帮助+示例+epilog,中,已完成：arg_parser.py覆盖全部参数用途,0.5天,已修复
P2-7,P2,GUI功能,N/A（key_collision_gui.py已移除）,key_collision_gui.py在v4.x中已整体移除,中,无需修复（组件已移除）,1天,不适用
P2-8,P2,性能测试,benchmarks/,v5.4.0已修复,CI已包含benchmark job（ci.yml L403-443），新增基准文件benchmark-baseline.json，支持回归检测,中,已完成：CI benchmark job + 基线文件 + benchmark_runner.py整合,1天,已修复
P2-9,P2,配置管理,config.schema.json (新增),v5.4.0刚创建,JSON Schema已创建，集成至 --config-check 命令,中,已完成：config.schema.json + _validate_config_schema() + --config-check集成,1天,已修复
P2-10,P2,测试覆盖,tests/test_checkpoint.py,tests/test_checkpoint.py等已存在且通过all,核心模块测试已补充,中,已完成：checkpoint/dedup核心模块测试覆盖,3天,已修复
P3-1,P3,代码注释,全局,v4.2.1大幅改进,核心模块(GPU内核/ECDSA/哈希)均有详细算法注释,低,已完成：GPU引擎各子方法均有算法说明,1天,已改进
P3-2,P3,命名规范,全局,v4.2.1已修复,review确认无过度缩写问题,低,已完成：核心API全部使用完整命名,0.5天,已修复
P3-3,P3,文档示例,docs/,已有200+文档,CLI_GUIDE/USER_GUIDE/API参考齐全,低,已完成：快速入门/使用指南/故障排除,2天,已改进
P3-4,P3,国际化,src/i18n/,v4.2.1已实现,项目已实现中英文国际化(i18n模块+_t函数),低,已完成：gettext风格i18n,3天,已修复
P3-5,P3,监控界面,deploy/prometheus+grafana,v5.4.0已改进,Grafana GPU仪表板(btc-collision-gpu.json) + Prometheus告警规则(btc-collision-alerts.yml) 已创建，含9条告警规则,低,已完成：GPU仪表板 + 9条告警规则 + rule_files启用,5天,已改进
P3-6,P3,CI/CD,.github/workflows/ci.yml,v5.4.0已修复,CI已包含全部请求项：ruff lint、mypy类型检查、bandit安全扫描、pip-audit依赖扫描、pytest多版本矩阵(3.9-3.13)、benchmark回归检测、config验证、GPU静态检查、文档检查、门禁汇总,低,已完成：ci.yml 13个job全覆盖，无需额外改动,2天,已修复
